date,new_cases,new_deaths,nd_10
2020-01-27,1.0,,0
2020-01-28,3.0,,0
2020-01-29,0.0,,0
2020-01-30,0.0,,0
2020-01-31,1.0,,0
2020-02-01,3.0,,0
2020-02-02,2.0,,0
2020-02-03,2.0,,0
2020-02-04,0.0,,0
2020-02-05,0.0,,0
2020-02-06,0.0,,0
2020-02-07,1.0,,0
2020-02-08,0.0,,0
2020-02-09,1.0,,0
2020-02-10,0.0,,0
2020-02-11,2.0,,0
2020-02-12,0.0,,0
2020-02-13,0.0,,0
2020-02-14,0.0,,0
2020-02-15,0.0,,0
2020-02-16,0.0,,0
2020-02-17,0.0,,0
2020-02-18,0.0,,0
2020-02-19,0.0,,0
2020-02-20,0.0,,0
2020-02-21,0.0,,0
2020-02-22,0.0,,0
2020-02-23,0.0,,0
2020-02-24,0.0,,0
2020-02-25,1.0,,0
2020-02-26,10.0,,0
2020-02-27,19.0,,0
2020-02-28,2.0,,2.0
2020-02-29,31.0,,0.0
2020-03-01,51.0,,1.0
2020-03-02,29.0,,0.0
2020-03-03,37.0,,4.0
2020-03-04,66.0,,2.0
2020-03-05,220.0,,2.0
2020-03-06,188.0,,6.0
2020-03-07,129.0,,7.0
2020-03-08,241.0,,4.0
2020-03-09,136.0,2.0,16.0
2020-03-10,281.0,0.0,23.0
2020-03-11,451.0,1.0,17.0
2020-03-12,170.0,0.0,10.0
2020-03-13,1597.0,4.0,29.0
2020-03-14,910.0,2.0,34.0
2020-03-15,1210.0,2.0,49.0
2020-03-16,1477.0,6.0,61.0
2020-03-17,1985.0,7.0,75.0
2020-03-18,3070.0,4.0,91.0
2020-03-19,2993.0,16.0,100.0
2020-03-20,4528.0,23.0,112.0
2020-03-21,2365.0,17.0,130.0
2020-03-22,2660.0,10.0,145.0
2020-03-23,4183.0,29.0,187.0
2020-03-24,3930.0,34.0,168.0
2020-03-25,4337.0,49.0,169.0
2020-03-26,6615.0,61.0,140.0
2020-03-27,6933.0,75.0,226.0
2020-03-28,6824.0,91.0,206.0
2020-03-29,4400.0,100.0,333.0
2020-03-30,4790.0,112.0,258.0
2020-03-31,4923.0,130.0,160.0
2020-04-01,6064.0,145.0,-31.0
2020-04-02,6922.0,187.0,286.0
2020-04-03,6365.0,168.0,172.0
2020-04-04,4933.0,169.0,100.0
2020-04-05,4031.0,140.0,510.0
2020-04-06,3251.0,226.0,248.0
2020-04-07,4289.0,206.0,300.0
2020-04-08,5633.0,333.0,107.0
2020-04-09,4885.0,258.0,127.0
2020-04-10,3990.0,160.0,276.0
2020-04-11,2737.0,-31.0,171.0
2020-04-12,2946.0,286.0,246.0
2020-04-13,2218.0,172.0,296.0
2020-04-14,1287.0,100.0,185.0
2020-04-15,3394.0,510.0,117.0
2020-04-16,2945.0,248.0,99.0
2020-04-17,3699.0,300.0,150.0
2020-04-18,1945.0,107.0,188.0
2020-04-19,1842.0,127.0,153.0
2020-04-20,1881.0,276.0,156.0
2020-04-21,1226.0,171.0,113.0
2020-04-22,2357.0,246.0,76.0
2020-04-23,2481.0,296.0,54.0
2020-04-24,1870.0,185.0,127.0
2020-04-25,1514.0,117.0,0.0
2020-04-26,1257.0,99.0,282.0
2020-04-27,988.0,150.0,117.0
2020-04-28,1154.0,188.0,118.0
2020-04-29,1627.0,153.0,39.0
2020-04-30,1470.0,156.0,20.0
2020-05-01,1068.0,113.0,92.0
2020-05-02,890.0,76.0,77.0
2020-05-03,697.0,54.0,123.0
2020-05-04,488.0,127.0,23.0
2020-05-05,855.0,0.0,13.0
2020-05-06,1155.0,282.0,41.0
2020-05-07,1268.0,117.0,24.0
2020-05-08,1158.0,118.0,41.0
2020-05-09,736.0,39.0,78.0
2020-05-10,555.0,20.0,63.0
2020-05-11,697.0,92.0,59.0
2020-05-12,595.0,77.0,25.0
2020-05-13,927.0,123.0,33.0
2020-05-14,380.0,23.0,22.0
2020-05-15,755.0,13.0,26.0
2020-05-16,519.0,41.0,63.0
2020-05-17,617.0,24.0,56.0
2020-05-18,182.0,41.0,42.0
2020-05-19,1227.0,78.0,34.0
2020-05-20,695.0,63.0,26.0
2020-05-21,548.0,59.0,10.0
2020-05-22,689.0,25.0,15.0
2020-05-23,276.0,33.0,8.0
2020-05-24,342.0,22.0,39.0
2020-05-25,272.0,26.0,33.0
2020-05-26,600.0,63.0,23.0
2020-05-27,324.0,56.0,15.0
2020-05-28,672.0,42.0,12.0
2020-05-29,726.0,34.0,10.0
2020-05-30,267.0,26.0,41.0
2020-05-31,221.0,10.0,16.0
2020-06-01,184.0,15.0,20.0
2020-06-02,285.0,8.0,11.0
2020-06-03,242.0,39.0,10.0
2020-06-04,351.0,33.0,8.0
2020-06-05,452.0,23.0,6.0
2020-06-06,526.0,15.0,13.0
2020-06-07,300.0,12.0,31.0
2020-06-08,359.0,10.0,24.0
2020-06-09,397.0,41.0,12.0
2020-06-10,16.0,16.0,8.0
2020-06-11,169.0,20.0,0.0
2020-06-12,535.0,11.0,4.0
2020-06-13,41.0,10.0,15.0
2020-06-14,251.0,8.0,14.0
2020-06-15,164.0,6.0,12.0
2020-06-16,570.0,13.0,25.0
2020-06-17,352.0,31.0,3.0
2020-06-18,1213.0,24.0,0.0
2020-06-19,482.0,12.0,8.0
2020-06-20,371.0,8.0,14.0
2020-06-21,602.0,0.0,5.0
2020-06-22,496.0,4.0,11.0
2020-06-23,712.0,15.0,4.0
2020-06-24,391.0,14.0,10.0
2020-06-25,500.0,12.0,3.0
2020-06-26,665.0,25.0,-1.0
2020-06-27,422.0,3.0,10.0
2020-06-28,235.0,0.0,14.0
2020-06-29,349.0,8.0,11.0
2020-06-30,376.0,14.0,6.0
2020-07-01,475.0,5.0,7.0
2020-07-02,477.0,11.0,1.0
2020-07-03,410.0,4.0,3.0
2020-07-04,418.0,10.0,4.0
2020-07-05,325.0,3.0,2.0
2020-07-06,541.0,-1.0,7.0
2020-07-07,279.0,10.0,1.0
2020-07-08,356.0,14.0,3.0
2020-07-09,302.0,11.0,1.0
2020-07-10,331.0,6.0,2.0
2020-07-11,377.0,7.0,5.0
2020-07-12,210.0,1.0,3.0
2020-07-13,261.0,3.0,8.0
2020-07-14,276.0,4.0,10.0
2020-07-15,434.0,2.0,4.0
2020-07-16,560.0,7.0,0.0
2020-07-17,595.0,1.0,1.0
2020-07-18,381.0,3.0,6.0
2020-07-19,309.0,1.0,4.0
2020-07-20,590.0,2.0,9.0
2020-07-21,392.0,5.0,3.0
2020-07-22,559.0,3.0,7.0
2020-07-23,605.0,8.0,0.0
2020-07-24,742.0,10.0,0.0
2020-07-25,655.0,4.0,9.0
2020-07-26,389.0,0.0,16.0
2020-07-27,445.0,1.0,2.0
2020-07-28,595.0,6.0,14.0
2020-07-29,839.0,4.0,6.0
2020-07-30,989.0,9.0,1.0
2020-07-31,864.0,3.0,1.0
2020-08-01,606.0,7.0,5.0
2020-08-02,215.0,0.0,5.0
2020-08-03,891.0,0.0,4.0
2020-08-04,717.0,9.0,13.0
2020-08-05,1285.0,16.0,5.0
2020-08-06,926.0,2.0,0.0
2020-08-07,1157.0,14.0,1.0
2020-08-08,707.0,6.0,5.0
2020-08-09,385.0,1.0,8.0
2020-08-10,1220.0,1.0,14.0
2020-08-11,1032.0,5.0,3.0
2020-08-12,1319.0,5.0,6.0
2020-08-13,1422.0,4.0,3.0
2020-08-14,1510.0,13.0,1.0
2020-08-15,697.0,5.0,5.0
2020-08-16,519.0,0.0,4.0
2020-08-17,1693.0,1.0,5.0
2020-08-18,1420.0,5.0,0.0
2020-08-19,1586.0,8.0,9.0
2020-08-20,1586.0,14.0,1.0
2020-08-21,1737.0,3.0,3.0
2020-08-22,832.0,6.0,4.0
2020-08-23,633.0,3.0,15.0
2020-08-24,1628.0,1.0,0.0
2020-08-25,1461.0,5.0,5.0
2020-08-26,1427.0,4.0,2.0
2020-08-27,1561.0,5.0,1.0
2020-08-28,1555.0,0.0,1.0
2020-08-29,709.0,9.0,5.0
2020-08-30,470.0,1.0,6.0
2020-08-31,1497.0,3.0,3.0
2020-09-01,1213.0,4.0,3.0
2020-09-02,1396.0,15.0,4.0
2020-09-03,1429.0,0.0,2.0
2020-09-04,1443.0,5.0,2.0
2020-09-05,775.0,2.0,11.0
2020-09-06,670.0,1.0,6.0
2020-09-07,1898.0,1.0,3.0
2020-09-08,1331.0,5.0,10.0
2020-09-09,1476.0,6.0,2.0
2020-09-10,1716.0,3.0,2.0
2020-09-11,1586.0,3.0,0.0
2020-09-12,1082.0,4.0,15.0
2020-09-13,920.0,2.0,18.0
